"","nflId","height","weight","birthDate","collegeName","officialPosition","displayName","side_of_the_ball","elo","name","snaps"
"31",37112,"6-3",268,"1989-05-10","Pittsburgh","DE","Jabaal Sheard","Rusher",993,"Jabaal Sheard",6
"32",37130,"6-2",315,"1989-07-12","Florida State","C","Rodney Hudson","Blocker",1042,"Rodney Hudson",143
"33",37145,"6-3",270,"1989-01-21","Georgia","OLB","Justin Houston","Rusher",985,"Justin Houston",151
"34",37174,"6-4",246,"1989-07-23","Mississippi State","OLB","K.J. Wright","Rusher",1000,"K.J. Wright",62
"35",37213,"6-6",335,"1988-05-06","Texas Christian","T","Marcus Cannon","Blocker",1055,"Marcus Cannon",106
"36",37240,"6-3",265,"1988-12-17","Mississippi State","OLB","Pernell McPhee","Rusher",1056,"Pernell McPhee",90
"37",37266,"6-3",295,"1987-11-05","Cincinnati","C","Jason Kelce","Blocker",1083,"Jason Kelce",255
"38",37308,"6-4",315,"1990-03-17","Arizona State","DT","Lawrence Guy","Rusher",958,"Lawrence Guy",85
"39",37317,"6-0",225,"1989-07-05","Southern California","MLB","Malcolm Smith","Rusher",1022,"Malcolm Smith",121
"40",37778,"6-1",235,"1989-08-24","Auburn","ILB","Josh Bynes","Rusher",996,"Josh Bynes",56
"41",37792,"6-1",250,"1989-05-12","Central Michigan","LB","Nick Bellore","Rusher",1000,"Nick Bellore",3
"42",37841,"6-3",260,"1987-09-06","Troy","DE","Mario Addison","Rusher",976,"Mario Addison",119
"43",38542,"6-4",310,"1990-12-13","Mississippi State","DT","Fletcher Cox","Rusher",1040,"Fletcher Cox",178
"44",38544,"6-5",305,"1990-12-21","Louisiana State","DE","Michael Brockers","Rusher",1027,"Michael Brockers",134
"45",38548,"6-2",247,"1989-04-26","South Carolina","OLB","Melvin Ingram","Rusher",1010,"Melvin Ingram",141
"46",38551,"6-5",265,"1990-02-27","Syracuse","OLB","Chandler Jones","Rusher",1055,"Chandler Jones",173
"47",38553,"6-6",305,"1988-12-01","Iowa","T","Riley Reiff","Blocker",981,"Riley Reiff",257
"48",38555,"6-3",260,"1990-03-12","Alabama","OLB","Dont'a Hightower","Rusher",1049,"Dont'a Hightower",151
"49",38556,"6-4",258,"1990-07-21","Illinois","DE","Whitney Mercilus","Rusher",1072,"Whitney Mercilus",132
"50",38557,"6-4",315,"1990-03-08","Wisconsin","G","Kevin Zeitler","Blocker",1084,"Kevin Zeitler",257
"51",38577,"6-0",242,"1990-06-27","Utah State","MLB","Bobby Wagner","Rusher",1006,"Bobby Wagner",306
"52",38588,"6-1",233,"1990-01-23","Nebraska","ILB","Lavonte David","Rusher",991,"Lavonte David",234
"53",38606,"6-5",335,"1989-08-19","Miami, O.","G","Brandon Brooks","Blocker",1040,"Brandon Brooks",39
"54",38607,"6-2",248,"1989-01-11","Arkansas State","ILB","Demario Davis","Rusher",983,"Demario Davis",266
"55",38619,"6-4",352,"1989-11-16","Regina, Can.","DT","Akiem Hicks","Rusher",1050,"Akiem Hicks",98
"56",38629,"6-3",308,"1989-07-02","Georgia","C","Ben Jones","Blocker",1001,"Ben Jones",272
"57",38642,"6-6",325,"1989-08-01","Mississippi","T","Bobby Massie","Blocker",1030,"Bobby Massie",292
"58",38667,"6-5",290,"1990-01-11","Tennessee","DT","Malik Jackson","Rusher",1010,"Malik Jackson",194
"59",38681,"6-3",300,"1990-05-10","Washington","G","Senio Kelemete","Blocker",1000,"Senio Kelemete",2
"60",38718,"6-0",239,"1990-03-24","Kentucky","ILB","Danny Trevathan","Rusher",1000,"Danny Trevathan",24
"61",38779,"6-3",308,"1989-06-08","Southern Methodist","T","Kelvin Beachum","Blocker",1010,"Kelvin Beachum",142
"62",39008,"6-1",230,"1990-09-02","Wagner","OLB","Julian Stanford","Rusher",994,"Julian Stanford",27
"63",39146,"6-5",310,"1989-04-11","Oregon State","T","Mike Remmers","Blocker",994,"Mike Remmers",109
"64",39684,"6-3",305,"1990-02-26","Pennsylvania","G","Greg Van Roten","Blocker",1037,"Greg Van Roten",271
"65",39947,"6-7",315,"1991-01-05","Central Michigan","T","Eric Fisher","Blocker",1020,"Eric Fisher",209
"66",39950,"6-6",317,"1990-05-08","Oklahoma","T","Lane Johnson","Blocker",1029,"Lane Johnson",132
"67",39959,"6-3",294,"1990-11-29","Missouri","DT","Sheldon Richardson","Rusher",1070,"Sheldon Richardson",128
"68",39960,"6-2",318,"1989-12-20","Utah","DT","Star Lotulelei","Rusher",1013,"Star Lotulelei",109
"69",39965,"6-5",311,"1990-08-15","Syracuse","G","Justin Pugh","Blocker",1119,"Justin Pugh",218
"70",39976,"6-2",235,"1991-09-25","Georgia","ILB","Alec Ogletree","Rusher",996,"Alec Ogletree",148
"71",39993,"6-0",246,"1990-12-03","Louisiana State","ILB","Kevin Minter","Rusher",993,"Kevin Minter",75
"72",39997,"6-3",340,"1992-03-30","Ohio State","NT","Johnathan Hankins","Rusher",1003,"Johnathan Hankins",120
"73",39998,"6-1",245,"1991-05-05","Florida","OLB","Jon Bostic","Rusher",986,"Jon Bostic",102
"74",40000,"6-3",255,"1989-10-20","Southern Mississippi","OLB","Jamie Collins","Rusher",1027,"Jamie Collins",62
"75",40001,"6-8",295,"1987-07-14","Southern Methodist","DT","Margus Hunt","Rusher",993,"Margus Hunt",5
"76",40020,"6-4",320,"1991-07-10","Kent State","G","Brian Winters","Blocker",1010,"Brian Winters",7
"77",40023,"6-5",304,"1991-07-23","Arkansas-Pine Bluff","T","Terron Armstead","Blocker",1074,"Terron Armstead",127
"78",40030,"6-3",327,"1989-07-11","Georgia","NT","John Jenkins","Rusher",964,"John Jenkins",57
"79",40042,"6-1",336,"1989-02-21","Missouri Southern","NT","Brandon Williams","Rusher",917,"Brandon Williams",94
"80",40051,"6-4",260,"1991-02-08","Texas","DE","Alex Okafor","Rusher",961,"Alex Okafor",134
"81",40070,"6-4",307,"1991-02-12","Cornell","C","J.C. Tretter","Blocker",1003,"J.C. Tretter",249
"82",40074,"6-6",281,"1991-07-31","Michigan State","DE","William Gholston","Rusher",974,"William Gholston",126
"83",40077,"6-2",260,"1990-10-14","Ohio State","DE","John Simon","Rusher",983,"John Simon",11
"84",40089,"6-5",315,"1991-06-05","Virginia","G","Oday Aboushi","Blocker",930,"Oday Aboushi",167
"85",40095,"6-3",263,"1990-09-16","Buffalo","OLB","Steven Means","Rusher",956,"Steven Means",181
"86",40096,"6-1",240,"1991-07-30","Iowa State","OLB","A.J. Klein","Rusher",996,"A.J. Klein",62
"87",40124,"6-5",310,"1990-08-24","San Jose State","G","David Quessenberry","Blocker",943,"David Quessenberry",276
"88",40151,"6-4",319,"1991-05-27","Colorado State-Pueblo","C","Ryan Jensen","Blocker",1049,"Ryan Jensen",308
"89",40171,"6-4",309,"1990-02-21","Samford","DE","Nicholas Williams","Rusher",958,"Nicholas Williams",135
"90",40253,"6-3",249,"1990-08-26","Florida","DE","Lerentee McCray","Rusher",997,"Lerentee McCray",11
"91",40347,"6-3",328,"1991-04-20","Wyoming","NT","Mike Purcell","Rusher",1006,"Mike Purcell",67
"92",40416,"6-4",295,"1991-04-23","Alabama-Birmingham","T","Christopher Hubbard","Blocker",967,"Christopher Hubbard",18
"93",40463,"6-3",263,"1991-07-02","Pennsylvania","OLB","Brandon Copeland","Rusher",1010,"Brandon Copeland",23
"94",40608,"6-2",293,"1989-02-06","Alabama","NT","Damion Square","Rusher",940,"Damion Square",49
"95",40825,"6-3",265,"1991-08-03","Idaho","OLB","Benson Mayowa","Rusher",974,"Benson Mayowa",111
"96",41069,"6-2",300,"1989-06-05","Iowa","C","James Ferentz","Blocker",1005,"James Ferentz",55
"97",41222,"6-9",320,"1988-09-22","Army","T","Alejandro Villanueva","Blocker",1011,"Alejandro Villanueva",252
"98",41227,"6-5",255,"1993-02-14","South Carolina","DE","Jadeveon Clowney","Rusher",1006,"Jadeveon Clowney",174
"99",41231,"6-3",269,"1991-02-22","Buffalo","OLB","Khalil Mack","Rusher",1033,"Khalil Mack",152
"100",41232,"6-5",309,"1992-02-11","Texas A&amp;M","T","Jake Matthews","Blocker",1023,"Jake Matthews",289
"101",41235,"6-5",255,"1992-03-18","UCLA","OLB","Anthony Barr","Rusher",976,"Anthony Barr",128
"102",41237,"6-7",309,"1991-07-22","Michigan","T","Taylor Lewan","Blocker",1077,"Taylor Lewan",182
"103",41239,"6-1",280,"1991-05-23","Pittsburgh","DT","Aaron Donald","Rusher",1168,"Aaron Donald",260
"104",41242,"6-4",315,"1990-11-20","Notre Dame","G","Zack Martin","Blocker",938,"Zack Martin",208
"105",41243,"6-2",250,"1992-06-19","Alabama","ILB","C.J. Mosley","Rusher",1025,"C.J. Mosley",213
"106",41249,"6-2",252,"1991-03-19","Auburn","DE","Dee Ford","Rusher",982,"Dee Ford",87
"107",41262,"6-4",310,"1991-01-01","UCLA","G","Xavier Su'a-Filo","Blocker",948,"Xavier Su'a-Filo",59
"108",41263,"6-3",265,"1992-04-28","Boise State","DE","Demarcus Lawrence","Rusher",1027,"Demarcus Lawrence",29
"109",41264,"6-4",320,"1991-10-11","Nevada","G","Joel Bitonio","Blocker",1108,"Joel Bitonio",249
"110",41269,"6-3",250,"1991-03-26","Brigham Young","OLB","Kyle Van Noy","Rusher",928,"Kyle Van Noy",211
"111",41279,"6-3",252,"1993-01-17","Georgia Tech","OLB","Jeremiah Attaochu","Rusher",980,"Jeremiah Attaochu",63
"112",41293,"6-6",315,"1991-05-29","Missouri","C","Justin Britt","Blocker",991,"Justin Britt",175
"113",41295,"6-6",330,"1991-03-03","Virginia","T","Morgan Moses","Blocker",978,"Morgan Moses",244
"114",41296,"6-5",310,"1991-10-17","North Dakota State","T","Billy Turner","Blocker",1024,"Billy Turner",226
"115",41300,"6-2",235,"1992-08-31","Iowa","OLB","Christian Kirksey","Rusher",984,"Christian Kirksey",228
"116",41310,"6-3",336,"1991-07-12","Mississippi State","G","Gabe Jackson","Blocker",1081,"Gabe Jackson",233
"117",41321,"6-3",315,"1993-06-14","Louisiana State","G","Trai Turner","Blocker",1013,"Trai Turner",231
"118",41322,"6-6",315,"1992-01-25","Miami","G","Brandon Linder","Blocker",1008,"Brandon Linder",163
"119",41324,"6-6",301,"1990-11-15","Michigan","G","Michael Schofield","Blocker",1012,"Michael Schofield",109
"120",41336,"6-2",350,"1990-12-27","Louisiana Tech","DT","Justin Ellis","Rusher",979,"Justin Ellis",67
"121",41341,"6-4",322,"1991-12-27","Penn State","DT","DaQuan Jones","Rusher",934,"DaQuan Jones",135
"122",41348,"6-0",235,"1992-06-10","Iowa","ILB","Anthony Hitchens","Rusher",993,"Anthony Hitchens",117
"123",41361,"6-0",230,"1991-10-07","Boston College","OLB","Kevin Pierre-Louis","Rusher",1000,"Kevin Pierre-Louis",1
"124",41363,"6-7",300,"1991-05-05","Virginia","DE","Brent Urban","Rusher",1012,"Brent Urban",80
"125",41387,"6-2",292,"1991-11-23","Princeton","DT","Caraun Reid","Rusher",1019,"Caraun Reid",6
"126",41390,"6-3",301,"1991-07-27","Ohio State","C","Corey Linsley","Blocker",1065,"Corey Linsley",274
"127",41403,"6-3",256,"1991-06-24","Southern California","OLB","Devon Kennard","Rusher",1002,"Devon Kennard",57
"128",41436,"6-3",300,"1989-10-12","Boise State","C","Matt Paradis","Blocker",1094,"Matt Paradis",294
"129",41449,"6-5",310,"1991-02-25","Connecticut","DE","Shamar Stephen","Rusher",1009,"Shamar Stephen",72
"130",41464,"6-2",290,"1991-08-11","Illinois State","DE","Shelby Harris","Rusher",908,"Shelby Harris",160
"131",41475,"6-3",305,"1991-10-09","Boise State","T","Charles Leno","Blocker",1068,"Charles Leno",298
"132",41532,"6-5",310,"1991-12-17","North Carolina","T","James Hurst","Blocker",1127,"James Hurst",126
"133",41563,"6-8",328,"1991-07-18","Kansas State","T","Cornelius Lucas","Blocker",1043,"Cornelius Lucas",112
"134",41595,"6-4",332,"1991-05-09","Colorado State-Pueblo","NT","Mike Pennel","Rusher",987,"Mike Pennel",7
"135",41599,"6-1",232,"1991-05-06","South Carolina State","ILB","Joe Thomas","Rusher",1000,"Joe Thomas",22
"136",41619,"6-3",316,"1992-07-06","Texas","C","Trey Hopkins","Blocker",962,"Trey Hopkins",255
"137",41630,"6-3",317,"1992-05-31","Central Florida","C","Justin McCray","Blocker",981,"Justin McCray",97
"138",41665,"6-3",310,"1991-05-05","Clemson","G","Tyler Shatley","Blocker",1015,"Tyler Shatley",101
"139",41667,"6-6",306,"1991-02-14","James Madison","T","Josh Wells","Blocker",986,"Josh Wells",15
"140",41707,"6-4",325,"1991-07-08","Utah State","C","Tyler Larsen","Blocker",1025,"Tyler Larsen",27
"141",41722,"6-6",290,"1991-02-17","Stanford","DE","Josh Mauro","Rusher",968,"Josh Mauro",16
"142",41786,"6-2",270,"1991-05-02","Texas Tech","DE","Kerry Hyder","Rusher",987,"Kerry Hyder",172
"143",41915,"6-2",250,"1992-11-17","Colorado State","OLB","Shaquil Barrett","Rusher",968,"Shaquil Barrett",261
"144",41919,"6-2",334,"1990-08-29","Delaware","DT","Zach Kerr","Rusher",978,"Zach Kerr",18
"145",41939,"6-6",325,"1991-10-25","Ohio State","G","Andrew Norwell","Blocker",1028,"Andrew Norwell",262
"146",41947,"6-3",250,"1991-02-18","Florida State","ILB","Christian Jones","Rusher",996,"Christian Jones",6
"147",41959,"6-6",330,"1992-07-07","Bloomsburg","G","Matt Feiler","Blocker",1003,"Matt Feiler",274
"148",42031,"6-5",285,"1990-07-15","Mississippi State","DE","Denico Autry","Rusher",970,"Denico Autry",215
"149",42331,"6-6",265,"1992-04-13","No College","DE","Efe Obada","Rusher",946,"Efe Obada",45
"150",42346,"6-3",255,"1994-08-03","Florida","OLB","Dante Fowler","Rusher",982,"Dante Fowler",117
"151",42348,"6-5",315,"1991-12-26","Iowa","G","Brandon Scherff","Blocker",1045,"Brandon Scherff",113
"152",42349,"6-5",302,"1994-06-20","Southern California","DT","Leonard Williams","Rusher",966,"Leonard Williams",245
"153",42352,"6-6",329,"1994-04-25","Miami","G","Ereck Flowers","Blocker",1095,"Ereck Flowers",296
"154",42355,"6-2",345,"1993-08-20","Washington","NT","Danny Shelton","Rusher",942,"Danny Shelton",52
"155",42356,"6-7",316,"1993-11-04","Stanford","G","Andrus Peat","Blocker",937,"Andrus Peat",127
"156",42360,"6-7",292,"1993-11-15","Oregon","DE","Arik Armstead","Rusher",1035,"Arik Armstead",173
"157",42362,"6-5",313,"1992-08-23","Florida State","T","Cameron Erving","Blocker",966,"Cameron Erving",216
"158",42364,"6-5",310,"1992-04-25","Texas A&amp;M","T","Cedric Ogbuehi","Blocker",995,"Cedric Ogbuehi",21
"159",42365,"6-4",269,"1993-02-12","Kentucky","OLB","Bud Dupree","Rusher",995,"Bud Dupree",139
"160",42367,"6-5",307,"1993-12-28","Florida","T","D.J. Humphries","Blocker",940,"D.J. Humphries",235
"161",42368,"6-0",230,"1994-04-21","Washington","OLB","Shaq Thompson","Rusher",967,"Shaq Thompson",148
"162",42371,"6-3",312,"1992-02-09","Duke","G","Laken Tomlinson","Blocker",1024,"Laken Tomlinson",219
"163",42375,"6-2",320,"1994-02-02","Texas","DT","Malcom Brown","Rusher",969,"Malcom Brown",116
"164",42377,"6-6",338,"1993-06-23","Penn State","T","Donovan Smith","Blocker",1079,"Donovan Smith",306
"165",42378,"6-3",280,"1994-01-25","Florida State","DT","Mario Edwards","Rusher",926,"Mario Edwards",63
"166",42381,"6-5",265,"1992-11-17","Mississippi State","OLB","Preston Smith","Rusher",915,"Preston Smith",153
"167",42382,"6-3",320,"1994-01-06","Florida State","NT","Eddie Goldman","Rusher",944,"Eddie Goldman",57
"168",42386,"6-4",257,"1992-11-19","Mississippi State","ILB","Benardrick McKinney","Rusher",998,"Benardrick McKinney",15
"169",42388,"6-0",232,"1992-02-29","UCLA","ILB","Eric Kendricks","Rusher",1002,"Eric Kendricks",254
"170",42391,"5-11",240,"1992-12-05","Miami","ILB","Denzel Perryman","Rusher",995,"Denzel Perryman",212
"171",42392,"6-6",305,"1992-04-21","Missouri","C","Mitch Morse","Blocker",1096,"Mitch Morse",251
"172",42395,"6-6",341,"1992-09-21","Oklahoma","DE","Jordan Phillips","Rusher",1001,"Jordan Phillips",41
"173",42400,"6-8",328,"1992-05-13","Wisconsin","T","Rob Havenstein","Blocker",968,"Rob Havenstein",249
"174",42401,"6-3",260,"1991-03-13","Missouri","OLB","Markus Golden","Rusher",951,"Markus Golden",195
"175",42402,"6-5",315,"1992-03-10","Colorado State","T","Ty Sambrailo","Blocker",916,"Ty Sambrailo",67
"176",42403,"6-5",255,"1992-11-23","Nebraska","DE","Randy Gregory","Rusher",1044,"Randy Gregory",151
"177",42404,"6-4",307,"1993-04-17","Hobart","G","Ali Marpet","Blocker",1085,"Ali Marpet",306
"178",42406,"6-3",260,"1993-06-14","Michigan","DE","Frank Clark","Rusher",977,"Frank Clark",121
"179",42410,"6-3",325,"1991-10-03","South Carolina","G","A.J. Cann","Blocker",1054,"A.J. Cann",109
"180",42424,"6-3",315,"1993-08-12","Louisville","G","John Miller","Blocker",1019,"John Miller",221
"181",42427,"6-1",236,"1992-06-27","Texas","ILB","Jordan Hicks","Rusher",995,"Jordan Hicks",249
"182",42431,"6-5",252,"1994-10-29","Louisiana State","DE","Danielle Hunter","Rusher",1081,"Danielle Hunter",202
"183",42433,"6-5",320,"1992-03-02","Iowa","NT","Carl Davis","Rusher",1015,"Carl Davis",52
"184",42436,"6-6",301,"1991-08-03","Stanford","DE","Henry Anderson","Rusher",981,"Henry Anderson",13
"185",42443,"6-4",318,"1992-11-14","Auburn","DT","Angelo Blackson","Rusher",1003,"Angelo Blackson",113
"186",42444,"6-2",265,"1993-08-16","Arkansas","OLB","Trey Flowers","Rusher",1080,"Trey Flowers",120
"187",42445,"6-6",330,"1992-08-31","Oklahoma","T","Daryl Williams","Blocker",1074,"Daryl Williams",251
"188",42465,"6-4",272,"1992-09-08","Kentucky","OLB","Za'Darius Smith","Rusher",1052,"Za'Darius Smith",7
"189",42467,"6-1",227,"1994-08-03","Louisiana State","OLB","Kwon Alexander","Rusher",976,"Kwon Alexander",52
"190",42470,"6-0",243,"1993-05-28","Minnesota","OLB","Damien Wilson","Rusher",994,"Damien Wilson",168
"191",42471,"6-4",323,"1992-02-10","Miami","G","Jon Feliciano","Blocker",943,"Jon Feliciano",229
"192",42474,"6-1",310,"1993-08-28","Georgia Tech","G","Shaquille Mason","Blocker",1025,"Shaquille Mason",231
"193",42476,"6-4",309,"1991-11-09","Florida","C","Max Garcia","Blocker",1057,"Max Garcia",116
"194",42477,"6-4",310,"1992-05-03","West Virginia","G","Mark Glowinski","Blocker",1087,"Mark Glowinski",195
"195",42480,"6-0",305,"1993-04-28","Clemson","DT","Grady Jarrett","Rusher",1050,"Grady Jarrett",186
"196",42497,"6-2",309,"1992-09-03","Fresno State","DT","Tyeler Davison","Rusher",959,"Tyeler Davison",86
"197",42512,"6-2",245,"1993-08-08","Texas State","OLB","David Mayo","Rusher",1000,"David Mayo",3
"198",42535,"6-1",300,"01/22/1994","Arkansas","DT","Darius Philon","Rusher",1006,"Darius Philon",75
"199",42553,"6-1",298,"03/10/1992","Louisiana-Lafayette","DT","Christian Ringo","Rusher",992,"Christian Ringo",69
"200",42559,"6-2",305,"1993-10-16","Rice","NT","Christian Covington","Rusher",1001,"Christian Covington",124
"201",42560,"6-2",307,"1993-07-03","Southern Mississippi","DT","Rakeem Nunez-Roches","Rusher",1039,"Rakeem Nunez-Roches",105
"202",42565,"6-3",300,"1991-11-27","South Florida","C","Austin Reiter","Blocker",1009,"Austin Reiter",77
"203",42569,"6-5",310,"1994-08-21","Florida State","T","Bobby Hart","Blocker",1000,"Bobby Hart",18
"204",42587,"6-8",380,"1993-04-13","Florida","T","Trenton Brown","Blocker",1003,"Trenton Brown",2
"205",42598,"6-5",340,"1991-03-08","Mars Hill","G","Denzelle Good","Blocker",959,"Denzelle Good",10
"206",42654,"6-4",320,"1993-07-26","Louisiana State","T","La'el Collins","Blocker",997,"La'el Collins",54
"207",42667,"6-2",315,"1993-07-27","Louisiana-Lafayette","DT","Justin Hamilton","Rusher",1053,"Justin Hamilton",46
"208",42765,"6-4",320,"1992-07-22","Minn. State-Mankato","G","Chris Reed","Blocker",994,"Chris Reed",168
"209",42771,"6-2",234,"1993-04-06","Marshall","ILB","Neville Hewitt","Rusher",1000,"Neville Hewitt",2
"210",42810,"6-4",318,"1991-10-26","Kansas State","C","B.J. Finney","Blocker",990,"B.J. Finney",16
"211",42826,"6-1",292,"1992-12-29","Clemson","DT","DeShawn Williams","Rusher",953,"DeShawn Williams",87
"212",42869,"6-1",254,"1993-06-27","Stanford","OLB","James Vaughters","Rusher",980,"James Vaughters",12
"213",42883,"6-3",300,"1992-07-10","Georgia","C","David Andrews","Blocker",963,"David Andrews",286
"214",42887,"6-2",220,"1993-06-08","Auburn","OLB","Brandon King","Rusher",1000,"Brandon King",1
"215",42924,"6-6",325,"1991-09-15","Idaho","T","Jesse Davis","Blocker",945,"Jesse Davis",292
"216",42929,"6-2",242,"1993-12-07","Montana State","OLB","Alex Singleton","Rusher",997,"Alex Singleton",188
"217",42952,"6-5",310,"1992-06-05","Appalachian State","T","Kendall Lamm","Blocker",975,"Kendall Lamm",29
"218",42954,"6-4",310,"1992-04-23","Toledo","C","Greg Mancz","Blocker",984,"Greg Mancz",116
"219",43045,"6-4",330,"1991-08-07","West Virginia","G","Quinton Spain","Blocker",1010,"Quinton Spain",258
"220",43062,"6-1",240,"1991-08-15","Cal Poly","ILB","Nick Dzubnar","Rusher",994,"Nick Dzubnar",10
"221",43292,"6-5",280,"1995-07-11","Ohio State","OLB","Joey Bosa","Rusher",1026,"Joey Bosa",194
"222",43295,"6-6",315,"1994-03-18","Notre Dame","T","Ronnie Stanley","Blocker",942,"Ronnie Stanley",36
"223",43296,"6-7",300,"1994-03-17","Oregon","DT","DeForest Buckner","Rusher",1135,"DeForest Buckner",223
"224",43297,"6-6",308,"1994-08-17","Michigan State","T","Jack Conklin","Blocker",961,"Jack Conklin",153
"225",43298,"6-5",240,"1992-09-08","Georgia","OLB","Leonard Floyd","Rusher",1155,"Leonard Floyd",246
"226",43301,"6-2",305,"1994-04-02","Louisville","DT","Sheldon Rankins","Rusher",1083,"Sheldon Rankins",156
"227",43302,"6-5",313,"1994-08-02","Mississippi","T","Laremy Tunsil","Blocker",1014,"Laremy Tunsil",122
"228",43306,"6-1",216,"1995-07-26","Florida","MLB","Keanu Neal","Rusher",994,"Keanu Neal",114
"229",43307,"6-4",309,"1993-05-30","Alabama","C","Ryan Kelly","Blocker",1065,"Ryan Kelly",258
"230",43308,"6-3",267,"1994-06-17","Clemson","DE","Shaq Lawson","Rusher",947,"Shaq Lawson",129
"231",43316,"6-3",314,"1995-10-04","UCLA","NT","Kenny Clark","Rusher",1056,"Kenny Clark",238
"232",43318,"6-4",296,"09/19/1994","Mississippi","DT","Robert Nkemdiche","Rusher",1080,"Robert Nkemdiche",64
"233",43319,"6-4",330,"1994-06-14","Louisiana Tech","DT","Vernon Butler","Rusher",991,"Vernon Butler",61
"234",43320,"6-5",325,"1994-06-02","Texas A&amp;M","T","Germain Ifedi","Blocker",987,"Germain Ifedi",129
"235",43321,"6-4",275,"1993-11-06","Oklahoma State","DE","Emmanuel Ogbah","Rusher",934,"Emmanuel Ogbah",231
"236",43323,"6-2",245,"1995-06-14","Notre Dame","MLB","Jaylon Smith","Rusher",989,"Jaylon Smith",104
"237",43325,"6-1",244,"1995-09-03","UCLA","MLB","Myles Jack","Rusher",977,"Myles Jack",170
"238",43326,"6-6",308,"1994-07-03","Mississippi State","DT","Chris Jones","Rusher",963,"Chris Jones",152
"239",43330,"6-2",252,"1993-09-23","Alabama","ILB","Reggie Ragland","Rusher",989,"Reggie Ragland",117
"240",43332,"6-4",314,"1994-05-08","Penn State","NT","Austin Johnson","Rusher",977,"Austin Johnson",130
"241",43333,"6-5",287,"1994-05-11","Illinois","OLB","Jihad Ward","Rusher",978,"Jihad Ward",105
"242",43335,"6-4",330,"1995-03-21","Alabama","DT","A'Shawn Robinson","Rusher",966,"A'Shawn Robinson",65
"243",43337,"6-6",301,"1994-05-17","Indiana","T","Jason Spriggs","Blocker",1051,"Jason Spriggs",41
